Sample ID,rep,moisture,salinity,DEA
A-1,1,5,0,107.6564959
A-2,1,10,0,93.08932677
A-3,1,20,0,109.5303679
A-4,1,40,0,171.2714952
A-5,1,60,0,1320.618526
B-1,1,5,1,96.28705203
B-2,1,10,1,70.892079
B-3,1,20,1,106.4661718
B-4,1,40,1,149.6399345
B-5,1,60,1,615.3517618
C-1,1,5,2.5,67.59738714
C-2,1,10,2.5,104.1908862
C-3,1,20,2.5,95.06097389
C-4,1,40,2.5,109.8795422
C-5,1,60,2.5,519.6700187
D-1,1,5,5,71.61419449
D-2,1,10,5,31.35842064
D-3,1,20,5,47.80480638
D-4,1,40,5,64.58550688
D-5,1,60,5,429.3987978
A-1,2,5,0,101.3121697
A-2,2,10,0,31.92997112
A-3,2,20,0,80.46350187
A-5,2,60,0,1761.409412
B-1,2,5,1,55.34545882
B-2,2,10,1,57.02911513
B-3,2,20,1,74.17713846
B-4,2,40,1,161.4234541
B-5,2,60,1,726.3117534
C-1,2,5,2.5,84.84210219
C-2,2,10,2.5,59.99411922
C-3,2,20,2.5,71.12967956
C-4,2,40,2.5,70.82855248
C-5,2,60,2.5,118.7696032
D-1,2,5,5,42.11173893
D-2,2,10,5,25.254043
D-3,2,20,5,56.00419233
D-4,2,40,5,28.33580348
D-5,2,60,5,561.652569
A-1,3,5,0,45.90301393
A-2,3,10,0,29.78386632
A-3,3,20,0,58.99955885
A-4,3,40,0,117.3691635
A-5,3,60,0,892.284283
B-1,3,5,1,57.30881042
B-2,3,10,1,47.42555701
B-4,3,40,1,85.55038311
B-5,3,60,1,736.7634307
C-1,3,5,2.5,47.01774096
C-2,3,10,2.5,88.83210891
C-3,3,20,2.5,84.04702484
C-4,3,40,2.5,79.17499038
C-5,3,60,2.5,712.1046596
D-1,3,5,5,35.30701654
D-2,3,10,5,21.34128663
D-3,3,20,5,27.63590285
D-4,3,40,5,39.4108273
D-5,3,60,5,473.1805135